Rank,Country / Dependency,Continent,Population,Percentage of the world,Date,Source (official or from the United Nations),Notes
–,Saint Pierre and Miquelon (France),North America,5974,,1 Jan 2019,Official estimate[198],
–,Montserrat (United Kingdom),North America,5000,,1 Jul 2021,UN projection[3],
–,Falkland Islands (United Kingdom),South America,4000,,1 Jul 2021,UN projection[3],
–,Christmas Island (Australia),Oceania,1966,,30 Jun 2020,Official estimate[199],
–,Norfolk Island (Australia),Oceania,1734,,30 Jun 2020,Official estimate[199],
–,Niue (New Zealand),Oceania,1549,,1 Jul 2021,National annual projection[96],
–,Tokelau (New Zealand),Oceania,1501,,1 Jul 2021,National annual projection[96],
195,Vatican City,Europe,825,,1 Feb 2019,Monthly national estimate[200],The total population of 825 consisted of 453 residents and 372 non-resident citizens.
–,Cocos (Keeling) Islands (Australia),Oceania,573,,30 Jun 2020,Official estimate[199],
–,Pitcairn Islands (United Kingdom),Oceania,40,,1 Jan 2021,Official estimate[201],
–,World,All,7981630000,100%,1 Oct 2022,UN projection[3],
1,China,Asia,1412600000,,31 Dec 2021,Official estimate[4],"The population figure refers to mainland China, excluding its special administrative regions of Hong Kong and Macau, the former of which returned to Chinese sovereignty in 1997 and the latter in 1999."
2,India,Asia,1375586000,,1 Mar 2022,Official projection[5],The figure includes the population of Indian-administered Jammu and Kashmir and Ladakh.
3,United States,North America,331893745,,1 Jul 2021,Official estimate[6],"The figure includes the 50 states and the District of Columbia, but excludes the territories of the United States."
4,Indonesia,Asia[b],275773800,,1 Jul 2022,Official estimate[7],
5,Pakistan,Asia,229489000,,1 Jul 2022,UN projection[3],The figure includes the population of Pakistan-administered Azad Kashmir and Gilgit-Baltistan.
6,Nigeria,Africa,216747000,,1 Jul 2022,UN projection[3],
7,Brazil,South America,215209162,,1 Oct 2022,National population clock[8],
8,Bangladesh,Asia,165158616,,15 Jun 2022,2022 preliminary census result[9],
9,Russia,Europe[c],145100000,,1 Jun 2022,Official estimate[11],"It includes the Republic of Crimea and Sevastopol, administrative areas on the Crimean Peninsula occupied by Russia. The Ukrainian government and most of the world's other states consider the Crimean Peninsula part of Ukraine's territory."
10,Mexico,North America,128533664,,30 Jun 2022,National quarterly estimate[12],
11,Japan,Asia,125927902,,1 Jan 2022,Official estimate[13],
12,Philippines,Asia,112493737,,1 Oct 2022,National population clock[14],
13,Ethiopia,Africa,105163988,,1 Jul 2022,National annual projection[15],
14,Egypt,Africa[b],103895682,,1 Oct 2022,National population clock[16],
15,Vietnam,Asia,98506193,,1 Jul 2021,Official estimate[17],
16,DR Congo,Africa,95241000,,1 Jul 2022,UN projection[3],
17,Iran,Asia,85819182,,1 Oct 2022,National population clock[18],
18,Turkey,Asia[b],84680273,,31 Dec 2021,Official estimate[19],
19,Germany,Europe,84079811,,30 Jun 2022,National quarterly estimate[20],
20,France,Europe,67918000,,1 Aug 2022,Monthly national estimate[21],"Includes the integral 18 regions of France (including 5 overseas departments and regions). Does not include France's 5 overseas collectivities: French Polynesia, Saint Barthélemy, Saint Martin, Saint Pierre and Miquelon, and Wallis and Futuna, and the sui generis collectivity of New Caledonia, which are shown separately.[22]"
21,United Kingdom,Europe,67081234,,30 Jun 2020,Official estimate[23],Excludes the 3 British Crown Dependencies and the 14 British Overseas Territories listed separately. Four British Overseas Territories are not listed due to their extraordinary nature.[24]
22,Thailand,Asia,66842005,,1 Oct 2022,National population clock[25],
23,Tanzania,Africa,61280743,,1 Jul 2022,Official projection[26],Includes Zanzibar.
24,South Africa,Africa,60604992,,1 Jul 2022,Official estimate[27],
25,Italy,Europe,58867239,,30 Jun 2022,Monthly national estimate[28],
26,Myanmar,Asia,55294979,,1 Jul 2021,National annual projection[29],
27,South Korea,Asia,51638809,,31 Dec 2021,Official estimate[30],
28,Colombia,South America,51049498,,30 Jun 2021,Official projection[31],
29,Kenya,Africa,47564296,,31 Aug 2019,2019 census result[32],
30,Spain,Europe,47432805,,1 Jan 2022,Official estimate[33],
31,Argentina,South America,47327407,,18 May 2022,2022 census preliminary result[34],
32,Algeria,Africa,45400000,,1 Jan 2022,Official estimate[35],
33,Sudan,Africa,44796260,,1 Oct 2022,National population clock[36],
34,Uganda,Africa,42885900,,1 Jul 2021,Official projection[37],
35,Iraq,Asia,41190700,,1 Jul 2021,Official estimate[38],
36,Ukraine,Europe,41130432,,1 Feb 2022,National monthly estimate[39],"Excluding the Autonomous Republic of Crimea and the city of Sevastopol, Ukraine's de jure territory which is occupied by Russia (however including the Donbas region where there are ongoing separatist insurgencies)."
37,Canada,North America,38957630,,1 Oct 2022,National population clock[40],
38,Poland,Europe,37996000,,31 Jul 2022,National monthly estimate[41],
39,Morocco,Africa,36736144,,1 Oct 2022,National population clock[42],Excluding the disputed territory of Western Sahara (Sahrawi Arab Democratic Republic).
40,Uzbekistan,Asia,35799238,,1 Oct 2022,National population clock[43],
41,Saudi Arabia,Asia,35013414,,1 Jul 2020,Official estimate[44],
42,Peru,South America,33396698,,1 Jul 2022,National annual projection[45],
43,Angola,Africa,33086278,,30 Jun 2022,National annual projection[46],
44,Afghanistan,Asia,32890171,,1 Jul 2020,Official estimate[47],
45,Malaysia,Asia,32743200,,1 Oct 2022,National population clock[48],
46,Mozambique,Africa,31616078,,1 Jul 2022,National annual projection[49],
47,Yemen,Asia,31155000,,1 Jul 2022,UN projection[3],
48,Ghana,Africa,30832019,,27 Jun 2021,2021 census results[50],
49,Ivory Coast,Africa,29389150,,14 Dec 2021,2021 census result[51],
50,Venezuela,South America,29267000,,1 Jul 2022,UN projection[3],
51,Nepal,Asia,29192480,,11 Nov 2021,2021 census result[52],
52,Madagascar,Africa,26923353,,1 Jul 2021,National annual projection[53],
53,Australia,Oceania,25974609,,1 Oct 2022,National population clock[54],"Excluding the external territories of Christmas Island, the Cocos (Keeling) Islands, and Norfolk Island."
54,North Korea,Asia,25660000,,1 Jul 2021,National annual projection[55],
55,Cameroon,Africa,24348251,,1 Jul 2019,National annual projection[56],
56,Niger,Africa,24112753,,1 Jul 2021,National annual projection[57],
–,Taiwan,Asia,23375314,,31 Dec 2021,Official estimate[58],"Taiwan includes Penghu, Kinmen, Matsu and other minor islands."
57,Sri Lanka,Asia,22156000,,1 Jul 2021,Official estimate[59],
58,Burkina Faso,Africa,21510181,,1 Jul 2020,National annual projection[60],
59,Malawi,Africa,21507723,,1 Jul 2022,National annual projection[61],
60,Mali,Africa,21474000,,1 Jul 2022,UN projection[3],
61,Chile,South America,19678363,,30 Jun 2021,National annual projection[62],
62,Kazakhstan,Asia[b],19318496,,1 Oct 2022,National population clock[63],
63,Romania,Europe,19038098,,1 Jan 2022,Official estimate[64],
64,Zambia,Africa,18400556,,1 Jul 2021,National annual projection[65],
65,Syria,Asia,18276000,,1 Jul 2021,UN projection[3],
66,Ecuador,South America,18073236,,1 Oct 2022,National population clock[66],
67,Netherlands,Europe,17748410,,1 Oct 2022,National population clock[67],"Excluding the three constituent countries of the Kingdom of the Netherlands in the Caribbean Sea (Aruba, Curaçao, and Sint Maarten), but including the three special municipalities of the Caribbean Netherlands (Bonaire, Sint Eustatius and Saba)."
68,Senegal,Africa,17223497,,1 Jul 2021,National annual projection[68],
69,Guatemala,North America,17109746,,1 Jul 2021,National annual projection[69],
70,Chad,Africa,16818391,,1 Jul 2021,National annual projection[70],
71,Somalia,Africa,16360000,,1 Jul 2021,UN projection[3],Including Somaliland.
72,Cambodia,Asia,15552211,,3 Mar 2019,2019 census result[71],
73,Zimbabwe,Africa,15178979,,20 Apr 2022,2022 preliminary census result[72],
74,South Sudan,Africa,13249924,,1 Jul 2020,National annual projection[73],
75,Rwanda,Africa,12955768,,1 Jul 2021,National annual projection[74],
76,Guinea,Africa,12907395,,1 Jul 2021,National annual projection[75],
77,Burundi,Africa,12574571,,1 Jul 2021,National annual projection[76],
78,Benin,Africa,12506347,,1 Jul 2021,National annual projection[77],
79,Tunisia,Africa,11803588,,1 Jan 2022,National semi-annual estimate[78],
80,Bolivia,South America,11797257,,1 Jul 2021,National annual projection[79],
81,Haiti,North America,11743017,,1 Jul 2020,National annual projection[80],
82,Belgium,Europe,11671737,,1 May 2022,Official estimate[81],
83,Jordan,Asia,11309684,,1 Oct 2022,National population clock[82],
84,Cuba,North America,11113215,,31 Dec 2021,Official estimate[83],
85,Dominican Republic,North America,10535535,,1 Jul 2021,National annual projection[84],
86,Czech Republic,Europe,10493986,,1 Jun 2022,2022 estimate[85],
87,Sweden,Europe,10493565,,31 Jul 2022,Monthly national estimate[86],
88,Greece,Europe,10432481,,23 Nov 2021,2021 census preliminary results[87],
89,Portugal,Europe,10344802,,19 Apr 2021,2021 census preliminary results[88],
90,Azerbaijan,Asia[b],10185784,,1 Jul 2022,Monthly national estimate[89],
91,Hungary,Europe,9689000,,1 Jan 2022,Official estimate[90],
92,Israel,Asia,9583580,,1 Oct 2022,National population clock[91],The figure includes East Jerusalem and the Golan Heights. It also includes Israeli settlers within Area C of the West Bank.
93,Honduras,North America,9546178,,1 Jul 2021,National annual projection[92],
94,Tajikistan,Asia,9506000,,1 Jan 2021,Official estimate[93],
95,United Arab Emirates,Asia,9282410,,31 Dec 2020,Official estimate[94],
96,Belarus,Europe,9255524,,1 Jan 2022,Official estimate[95],
97,Papua New Guinea,Oceania,9122994,,1 Jul 2021,National annual projection[96],
98,Austria,Europe,9061848,,1 Jul 2022,National quarterly estimate[97],
99,Switzerland,Europe,8770283,,30 Jun 2022,National quarterly estimate[98],
100,Sierra Leone,Africa,8297882,,1 Jul 2021,National annual projection[99],
101,Togo,Africa,7886000,,1 Jul 2021,National annual projection[100],
–,Hong Kong (China),Asia,7403100,,31 Dec 2021,National semi-annual estimate[101],
102,Paraguay,South America,7353038,,1 Jul 2021,National annual projection[102],
103,Laos,Asia,7337783,,1 Jul 2021,National annual projection[103],
104,Libya,Africa,7054493,,1 Jul 2022,UN projection[3],
105,El Salvador,North America,6825935,,1 Jul 2021,National annual projection[104],
106,Serbia,Europe,6797105,,1 Jan 2022,Official estimate[105],Excluding Kosovo.
107,Lebanon,Asia,6769000,,1 Jul 2021,UN projection[3],
108,Kyrgyzstan,Asia,6800000,,1 Jul 2022,Monthly national estimate[106],
109,Nicaragua,North America,6595674,,30 Jun 2020,Official estimate[107],
110,Bulgaria,Europe,6520314,,7 Sep 2021,Official estimate[108],
111,Turkmenistan,Asia,6118000,,1 Jul 2021,UN projection[3],
112,Denmark,Europe,5910577,,1 Jul 2022,National quarterly estimate[109],Excluding the Faroe Islands and Greenland.
113,Congo,Africa,5657000,,1 Jul 2021,UN projection[3],
114,Central African Republic,Africa,5633412,,1 Jul 2020,National annual projection[110],
115,Finland,Europe,5522135,,30 Jun 2022,Monthly national estimate[111],Excluding Åland.
116,Singapore,Asia,5453600,,30 Jun 2021,Official estimate[112],
117,Norway,Europe,5455582,,30 Jun 2022,National quarterly estimate[113],Includes Svalbard.
118,Slovakia,Europe,5434712,,31 Dec 2021,National quarterly estimate[114],
119,Palestine,Asia,5227193,,1 Jul 2021,National annual projection[115],Figures does not include East Jerusalem or Israeli settlements in the West Bank.
120,Costa Rica,North America,5163038,,30 Jun 2021,National annual projection[116],
121,New Zealand,Oceania,5129460,,1 Oct 2022,National population clock[117],"Excluding the two self-governing associated states Cook Islands and Niue, and the dependent territory (Tokelau)."
122,Ireland,Europe,5123536,,3 Apr 2022,2022 census preliminary results[118],
123,Kuwait,Asia,4670713,,31 Dec 2020,Official estimate[119],
124,Liberia,Africa,4661010,,1 Jul 2021,National annual projection[120],
125,Oman,Asia,4527446,,31 Dec 2021,Monthly national estimate[121],
126,Panama,North America,4278500,,1 Jul 2020,National annual projection[122],
127,Mauritania,Africa,4271197,,1 Jul 2021,National annual projection[123],
128,Croatia,Europe,3888529,,31 Aug 2021,2021 census preliminary results[124],
129,Georgia,Asia[b],3688600,,1 Jan 2022,Official estimate[125],"Excluding Abkhazia (242,862, census 2011) and South Ossetia (53,559, census 2015)."
130,Eritrea,Africa,3601000,,1 Jul 2021,UN projection[3],
131,Uruguay,South America,3554915,,30 Jun 2021,National annual projection[126],
132,Mongolia,Asia,3460067,,1 Oct 2022,National population clock[127],
133,Bosnia and Herzegovina,Europe,3320954,,1 Jul 2020,Official estimate[128][129],
–,Puerto Rico (United States),North America,3285874,,1 Apr 2020,2020 census result[130],
134,Armenia,Asia,2963900,,31 Mar 2021,National quarterly estimate[131],
135,Lithuania,Europe,2830097,,1 Jul 2022,Monthly national estimate[132],
136,Albania,Europe,2829741,,1 Jan 2021,Official estimate[133],
137,Qatar,Asia,2799202,,31 Jul 2019,Official estimate[134],
138,Jamaica,North America,2734093,,31 Dec 2019,National semi-annual estimate[135],
139,Moldova,Europe,2597100,,1 Jan 2021,Official estimate[136],Excluding Transnistria.
140,Namibia,Africa,2550226,,1 Jul 2021,National annual projection[137],
141,Gambia,Africa,2487000,,1 Jul 2021,UN projection[3],
142,Botswana,Africa,2410338,,1 Jul 2021,National annual projection[138],
143,Gabon,Africa,2233272,,1 Jul 2021,National annual projection[139],
144,Lesotho,Africa,2159000,,1 Jul 2021,UN projection[3],
145,Slovenia,Europe,2108977,,1 Jan 2021,2021 census result[140],
146,Latvia,Europe,1893400,,1 Jun 2022,Monthly national estimate[141],
147,North Macedonia,Europe,1832696,,1 Nov 2021,2021 census result[142],
–,Kosovo,Europe,1798188,,31 Dec 2020,Official estimate[143],"The political status of Kosovo is disputed. Having unilaterally declared independence from Serbia in 2008, Kosovo is formally recognised as an independent state by 100 UN member states (with another 13 states recognising it at some point but then withdrawing their recognition) and 93 states not recognizing it, while Serbia continues to claim it as part of its own sovereign territory."
148,Guinea-Bissau,Africa,1646077,,1 Jul 2021,National annual projection[144],
149,Equatorial Guinea,Africa,1505588,,1 Jul 2021,Official estimate[145],
150,Bahrain,Asia,1501635,,17 Mar 2020,2020 census result[146],
151,Trinidad and Tobago,North America,1367558,,30 Jun 2021,Official estimate[147],
152,Estonia,Europe,1331796,,1 Jan 2022,Official estimate[148],
153,East Timor,Asia,1317780,,1 Jul 2021,National annual projection[149],
154,Mauritius,Africa,1266334,,30 Jun 2021,National semi-annual estimate[150],
155,Eswatini,Africa,1172000,,1 Jul 2021,UN projection[3],
156,Djibouti,Africa,976107,,1 Jul 2019,National annual projection[151],
157,Cyprus,Asia,918100,,1 Oct 2021,2021 census preliminary results[152],Excluding Northern Cyprus.
158,Fiji,Oceania,898402,,1 Jul 2021,National annual projection[96],
159,Comoros,Africa,758316,,15 Dec 2017,2017 census result[153],
160,Bhutan,Asia,763200,,30 May 2022,National annual projection[154],
161,Guyana,South America,743699,,1 Jul 2019,Official estimate[155],
162,Solomon Islands,Oceania,728041,,1 Jul 2021,National annual projection[96],
–,Macau (China),Asia,683200,,31 Dec 2021,National quarterly estimate[156],
163,Luxembourg,Europe,645397,,1 Jan 2022,Official estimate[157],
164,Montenegro,Europe,621306,,1 Jul 2020,National semi-annual estimate[158],
–,Western Sahara,Africa,612000,,1 Jul 2021,UN projection[3],"Disputed territory. Administration is split between Morocco and the Sahrawi Arab Democratic Republic, both of which claim the entire territory. The Sahrawi Arab Democratic Republic's administrative control is limited to approximately 20% of the territory, with the remaining 80% of the territory occupied by Morocco."
165,Suriname,South America,598000,,1 Jul 2019,Official estimate[159],
166,Cape Verde,Africa,563198,,1 Jul 2021,National annual projection[160],
167,Malta,Europe,519562,,21 Nov 2021,Census 2021[161],
168,Belize,North America,430191,,1 Jul 2021,Official estimate[162],
169,Brunei,Asia,429999,,1 Jul 2021,Official estimate[163],
170,Bahamas,North America,393450,,1 Jul 2021,National annual projection[164],
171,Maldives,Asia,383135,,31 Dec 2019,Official estimate[165],
–,Northern Cyprus,Asia,382230,,31 Dec 2019,Official estimate[166],"De facto independent, de jure part of Cyprus."
172,Iceland,Europe,381370,,30 Jun 2022,National quarterly estimate[167],
–,Transnistria,Europe,306000,,1 Jan 2018,2021 estimate[168],"De facto independent, de jure part of Moldova."
173,Vanuatu,Oceania,301295,,1 Jul 2021,National annual projection[96],
174,Barbados,North America,288000,,1 Jul 2021,UN projection[3],
–,French Polynesia (France),Oceania,279890,,1 Jul 2021,National annual projection[96],
–,New Caledonia (France),Oceania,273674,,1 Jul 2021,National annual projection[96],
–,Abkhazia,Asia,245424,,1 Jan 2020,Official estimate[169],"The political status of Abkhazia is disputed. Having unilaterally declared independence from Georgia in 1992, Abkhazia is formally recognised as an independent state by 6 UN member states (one other state recognised it but then withdrew its recognition), while Georgia continues to claim it as part of its own territory, designating it as Russian-occupied territory."
175,São Tomé and Príncipe,Africa,214610,,1 Jul 2021,National annual projection[170],
176,Samoa,Oceania,199853,,1 Jul 2021,National annual projection[96],
177,Saint Lucia,North America,178696,,1 Jul 2018,Official estimate[171],
–,Guam (United States),Oceania,153836,,1 Apr 2020,2020 census result[172],
–,Curaçao (Netherlands),North America,153671,,1 Jan 2021,Official estimate[173],
–,Artsakh,Asia,148900,,1 Jan 2021,Official estimate[174],"De facto independent, de jure part of Azerbaijan."
178,Kiribati,Oceania,120740,,1 Jul 2021,National annual projection[96],
179,Grenada,North America,113000,,1 Jul 2021,UN projection[3],
–,Aruba (Netherlands),North America,111050,,31 Dec 2020,National quarterly estimate[175],
180,Saint Vincent and the Grenadines,North America,110696,,1 Jul 2020,Official estimate[176],
–,Jersey (British Crown Dependency),Europe,107800,,31 Dec 2019,Official estimate[177],
181,Micronesia,Oceania,105754,,1 Jul 2021,National annual projection[96],
182,Tonga,Oceania,99532,,1 Jul 2021,National annual projection[96],
183,Antigua and Barbuda,North America,99337,,1 Jul 2021,National annual projection[178],
184,Seychelles,Africa,99202,,30 Jun 2021,National semi-annual estimate[179],
–,U.S. Virgin Islands (United States),North America,87146,,1 Apr 2020,2020 census result[180],
–,Isle of Man (British Crown Dependency),Europe,84069,,30 May 2021,2021 Census results[181],
185,Andorra,Europe,79535,,31 Dec 2021,Official estimate[182],
186,Dominica,North America,72000,,1 Jul 2021,UN projection[3],
–,Cayman Islands (United Kingdom),North America,65786,,30 Sep 2020,National quarterly estimate[183],
–,Bermuda (United Kingdom),North America,64055,,1 Jul 2021,National annual projection[184],
–,Guernsey (British Crown Dependency),Europe,63124,,30 Jun 2020,National quarterly estimate[185],
–,Greenland (Denmark),North America,56562,,1 Jan 2022,National quarterly estimate[186],
187,Marshall Islands,Oceania,54516,,1 Jul 2021,National annual projection[96],
188,Saint Kitts and Nevis,North America,54072,,1 Jul 2021,UN projection[3],
–,Faroe Islands (Denmark),Europe,54000,,1 Jun 2022,Monthly national estimate[187],
–,South Ossetia,Asia,53532,,15 Oct 2015,2015 census result[188],"South Ossetia's status is disputed. It considers itself to be an independent state, but this is recognised by only a few other countries. The Georgian government and most of the world's other states consider South Ossetia de jure a part of Georgia's territory."
–,American Samoa (United States),Oceania,49710,,1 Apr 2020,2020 census result[189],
–,Northern Mariana Islands (United States),Oceania,47329,,1 Apr 2020,2020 census result[190],
–,Turks and Caicos Islands (United Kingdom),North America,44542,,1 Jul 2020,Official estimate[191],
–,Sint Maarten (Netherlands),North America,42577,,1 Jan 2021,Official estimate[192],
189,Liechtenstein,Europe,39315,,31 Dec 2021,National semi-annual estimate[193],
190,Monaco,Europe,39150,,31 Dec 2021,Official estimate[194],
–,Gibraltar (United Kingdom),Europe,34000,,1 Jul 2021,UN projection[3],
191,San Marino,Europe,33776,,31 Aug 2022,Monthly national estimate[195],
–,Saint Martin (France),North America,32489,,1 Jan 2019,Official estimate[196],
–,Åland (Finland),Europe,30415,,30 Jun 2022,Monthly national estimate[111],
–,British Virgin Islands (United Kingdom),North America,30000,,1 Jul 2021,UN projection[3],
192,Palau,Oceania,17957,,1 Jul 2021,National annual projection[96],
–,Cook Islands (New Zealand),Oceania,15342,,1 Jul 2021,National annual projection[96],
–,Anguilla (United Kingdom),North America,15000,,1 Jul 2021,UN projection[3],
193,Nauru,Oceania,11832,,1 Jul 2021,National annual projection[96],
–,Wallis and Futuna (France),Oceania,11369,,1 Jan 2021,National annual projection[96],
194,Tuvalu,Oceania,10679,,1 Jul 2021,National annual projection[96],
–,Saint Barthélemy (France),North America,10289,,1 Jan 2019,Official estimate[197],
–,"Saint Helena, Ascension and Tristan da Cunha (United Kingdom)",Africa,6000,,1 Jul 2021,UN projection[3],
–,Saint Pierre and Miquelon (France),North America,5974,,1 Jan 2019,Official estimate[198],
–,Montserrat (United Kingdom),North America,5000,,1 Jul 2021,UN projection[3],
–,Falkland Islands (United Kingdom),South America,4000,,1 Jul 2021,UN projection[3],
–,Christmas Island (Australia),Oceania,1966,,30 Jun 2020,Official estimate[199],
–,Norfolk Island (Australia),Oceania,1734,,30 Jun 2020,Official estimate[199],
–,Niue (New Zealand),Oceania,1549,,1 Jul 2021,National annual projection[96],
–,Tokelau (New Zealand),Oceania,1501,,1 Jul 2021,National annual projection[96],
195,Vatican City,Europe,825,,1 Feb 2019,Monthly national estimate[200],The total population of 825 consisted of 453 residents and 372 non-resident citizens.
–,Cocos (Keeling) Islands (Australia),Oceania,573,,30 Jun 2020,Official estimate[199],
–,Pitcairn Islands (United Kingdom),Oceania,40,,1 Jan 2021,Official estimate[201],
–,World,All,7981630000,100%,1 Oct 2022,UN projection[3],
1,China,Asia,1412600000,,31 Dec 2021,Official estimate[4],"The population figure refers to mainland China, excluding its special administrative regions of Hong Kong and Macau, the former of which returned to Chinese sovereignty in 1997 and the latter in 1999."
2,India,Asia,1375586000,,1 Mar 2022,Official projection[5],The figure includes the population of Indian-administered Jammu and Kashmir and Ladakh.
3,United States,North America,331893745,,1 Jul 2021,Official estimate[6],"The figure includes the 50 states and the District of Columbia, but excludes the territories of the United States."
4,Indonesia,Asia[b],275773800,,1 Jul 2022,Official estimate[7],
5,Pakistan,Asia,229489000,,1 Jul 2022,UN projection[3],The figure includes the population of Pakistan-administered Azad Kashmir and Gilgit-Baltistan.
6,Nigeria,Africa,216747000,,1 Jul 2022,UN projection[3],
7,Brazil,South America,215209162,,1 Oct 2022,National population clock[8],
8,Bangladesh,Asia,165158616,,15 Jun 2022,2022 preliminary census result[9],
9,Russia,Europe[c],145100000,,1 Jun 2022,Official estimate[11],"It includes the Republic of Crimea and Sevastopol, administrative areas on the Crimean Peninsula occupied by Russia. The Ukrainian government and most of the world's other states consider the Crimean Peninsula part of Ukraine's territory."
10,Mexico,North America,128533664,,30 Jun 2022,National quarterly estimate[12],
11,Japan,Asia,125927902,,1 Jan 2022,Official estimate[13],
12,Philippines,Asia,112493737,,1 Oct 2022,National population clock[14],
13,Ethiopia,Africa,105163988,,1 Jul 2022,National annual projection[15],
14,Egypt,Africa[b],103895682,,1 Oct 2022,National population clock[16],
15,Vietnam,Asia,98506193,,1 Jul 2021,Official estimate[17],
16,DR Congo,Africa,95241000,,1 Jul 2022,UN projection[3],
17,Iran,Asia,85819182,,1 Oct 2022,National population clock[18],
18,Turkey,Asia[b],84680273,,31 Dec 2021,Official estimate[19],
19,Germany,Europe,84079811,,30 Jun 2022,National quarterly estimate[20],
20,France,Europe,67918000,,1 Aug 2022,Monthly national estimate[21],"Includes the integral 18 regions of France (including 5 overseas departments and regions). Does not include France's 5 overseas collectivities: French Polynesia, Saint Barthélemy, Saint Martin, Saint Pierre and Miquelon, and Wallis and Futuna, and the sui generis collectivity of New Caledonia, which are shown separately.[22]"
21,United Kingdom,Europe,67081234,,30 Jun 2020,Official estimate[23],Excludes the 3 British Crown Dependencies and the 14 British Overseas Territories listed separately. Four British Overseas Territories are not listed due to their extraordinary nature.[24]
22,Thailand,Asia,66842005,,1 Oct 2022,National population clock[25],
23,Tanzania,Africa,61280743,,1 Jul 2022,Official projection[26],Includes Zanzibar.
24,South Africa,Africa,60604992,,1 Jul 2022,Official estimate[27],
25,Italy,Europe,58867239,,30 Jun 2022,Monthly national estimate[28],
26,Myanmar,Asia,55294979,,1 Jul 2021,National annual projection[29],
27,South Korea,Asia,51638809,,31 Dec 2021,Official estimate[30],
28,Colombia,South America,51049498,,30 Jun 2021,Official projection[31],
29,Kenya,Africa,47564296,,31 Aug 2019,2019 census result[32],
30,Spain,Europe,47432805,,1 Jan 2022,Official estimate[33],
31,Argentina,South America,47327407,,18 May 2022,2022 census preliminary result[34],
32,Algeria,Africa,45400000,,1 Jan 2022,Official estimate[35],
33,Sudan,Africa,44796260,,1 Oct 2022,National population clock[36],
34,Uganda,Africa,42885900,,1 Jul 2021,Official projection[37],
35,Iraq,Asia,41190700,,1 Jul 2021,Official estimate[38],
36,Ukraine,Europe,41130432,,1 Feb 2022,National monthly estimate[39],"Excluding the Autonomous Republic of Crimea and the city of Sevastopol, Ukraine's de jure territory which is occupied by Russia (however including the Donbas region where there are ongoing separatist insurgencies)."
37,Canada,North America,38957630,,1 Oct 2022,National population clock[40],
38,Poland,Europe,37996000,,31 Jul 2022,National monthly estimate[41],
39,Morocco,Africa,36736144,,1 Oct 2022,National population clock[42],Excluding the disputed territory of Western Sahara (Sahrawi Arab Democratic Republic).
40,Uzbekistan,Asia,35799238,,1 Oct 2022,National population clock[43],
41,Saudi Arabia,Asia,35013414,,1 Jul 2020,Official estimate[44],
42,Peru,South America,33396698,,1 Jul 2022,National annual projection[45],
43,Angola,Africa,33086278,,30 Jun 2022,National annual projection[46],
44,Afghanistan,Asia,32890171,,1 Jul 2020,Official estimate[47],
45,Malaysia,Asia,32743200,,1 Oct 2022,National population clock[48],
46,Mozambique,Africa,31616078,,1 Jul 2022,National annual projection[49],
47,Yemen,Asia,31155000,,1 Jul 2022,UN projection[3],
48,Ghana,Africa,30832019,,27 Jun 2021,2021 census results[50],
49,Ivory Coast,Africa,29389150,,14 Dec 2021,2021 census result[51],
50,Venezuela,South America,29267000,,1 Jul 2022,UN projection[3],
51,Nepal,Asia,29192480,,11 Nov 2021,2021 census result[52],
52,Madagascar,Africa,26923353,,1 Jul 2021,National annual projection[53],
53,Australia,Oceania,25974609,,1 Oct 2022,National population clock[54],"Excluding the external territories of Christmas Island, the Cocos (Keeling) Islands, and Norfolk Island."
54,North Korea,Asia,25660000,,1 Jul 2021,National annual projection[55],
55,Cameroon,Africa,24348251,,1 Jul 2019,National annual projection[56],
56,Niger,Africa,24112753,,1 Jul 2021,National annual projection[57],
–,Taiwan,Asia,23375314,,31 Dec 2021,Official estimate[58],"Taiwan includes Penghu, Kinmen, Matsu and other minor islands."
57,Sri Lanka,Asia,22156000,,1 Jul 2021,Official estimate[59],
58,Burkina Faso,Africa,21510181,,1 Jul 2020,National annual projection[60],
59,Malawi,Africa,21507723,,1 Jul 2022,National annual projection[61],
60,Mali,Africa,21474000,,1 Jul 2022,UN projection[3],
61,Chile,South America,19678363,,30 Jun 2021,National annual projection[62],
62,Kazakhstan,Asia[b],19318496,,1 Oct 2022,National population clock[63],
63,Romania,Europe,19038098,,1 Jan 2022,Official estimate[64],
64,Zambia,Africa,18400556,,1 Jul 2021,National annual projection[65],
65,Syria,Asia,18276000,,1 Jul 2021,UN projection[3],
66,Ecuador,South America,18073236,,1 Oct 2022,National population clock[66],
67,Netherlands,Europe,17748410,,1 Oct 2022,National population clock[67],"Excluding the three constituent countries of the Kingdom of the Netherlands in the Caribbean Sea (Aruba, Curaçao, and Sint Maarten), but including the three special municipalities of the Caribbean Netherlands (Bonaire, Sint Eustatius and Saba)."
68,Senegal,Africa,17223497,,1 Jul 2021,National annual projection[68],
69,Guatemala,North America,17109746,,1 Jul 2021,National annual projection[69],
70,Chad,Africa,16818391,,1 Jul 2021,National annual projection[70],
71,Somalia,Africa,16360000,,1 Jul 2021,UN projection[3],Including Somaliland.
72,Cambodia,Asia,15552211,,3 Mar 2019,2019 census result[71],
73,Zimbabwe,Africa,15178979,,20 Apr 2022,2022 preliminary census result[72],
74,South Sudan,Africa,13249924,,1 Jul 2020,National annual projection[73],
75,Rwanda,Africa,12955768,,1 Jul 2021,National annual projection[74],
